s,id,date_time,airline,timezone,tweet
2,5.70306133677761E+017,2015-02-24 11:35:52 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica @dhepburn say
4,5.70301130888122E+017,2015-02-24 11:15:59 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica plus add commercials experience ... tacky
2,5.70301083672814E+017,2015-02-24 11:15:48 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica not today ... must mean need take another trip
0,5.70301031407624E+017,2015-02-24 11:15:36 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica really aggressive blast obnoxious 'entertainment' guests face amp little recourse
0,5.70300817074463E+017,2015-02-24 11:14:45 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica really big bad thing
0,5.70300767074181E+017,2015-02-24 11:14:33 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica seriously would pay 30 flight seat not play really bad thing fly va
4,5.70300616901321E+017,2015-02-24 11:13:57 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica yes nearly every time fly vx  ear worm  not go away :)
2,5.70300248553349E+017,2015-02-24 11:12:29 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica really miss prime opportunity men without hat parody https://t.co/mWpG7grEZP
4,5.70299953286943E+017,2015-02-24 11:11:19 -0800,Virgin America,Pacific Time (US & Canada),@virginamerica well not...but !: -D
4,5.70295459631264E+017,2015-02-24 10:53:27 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica amaze arrive hour early good
2,5.70294189143032E+017,2015-02-24 10:48:24 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica know suicide second lead death among teens 10-24
4,5.70289724453216E+017,2015-02-24 10:30:40 -0800,Virgin America,America/New_York,@VirginAmerica lt 3 pretty graphics much better minimal iconography .:
4,5.70289584061481E+017,2015-02-24 10:30:06 -0800,Virgin America,America/New_York,@VirginAmerica great deal already think 2nd trip @Australia amp not even go 1st trip yet !; p
